time,type
2018/7/25,CREATION
2018/7/25,BID
2018/7/25,CREATION
2018/7/25,BID
2018/7/25,CREATION
2018/7/25,SALE_PRICE_SET
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/25,SALE
2018/7/25,SALE_PRICE_SET
2018/7/25,CREATION
2018/7/25,BID
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/25,CREATION
2018/7/26,TRANSFER
2018/7/26,CANCEL_BID
2018/7/26,TRANSFER
2018/7/26,ACCEPT_BID
2018/7/26,BID
2018/7/26,BID
2018/7/26,BID
2018/7/26,BID
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,SALE_PRICE_SET
2018/7/26,CREATION
2018/7/26,SALE_PRICE_SET
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,CREATION
2018/7/26,TRANSFER
2018/7/27,BID
2018/7/27,CANCEL_BID
2018/7/27,ACCEPT_BID
2018/7/27,SALE_PRICE_SET
2018/7/27,SALE_PRICE_SET
2018/7/27,CREATION
2018/7/27,SALE
2018/7/27,SALE_PRICE_SET
2018/7/27,CREATION
2018/7/28,SALE_PRICE_SET
2018/7/28,CREATION
2018/7/28,CREATION
2018/7/29,CANCEL_BID
2018/7/29,ACCEPT_BID
2018/7/29,BID
2018/7/29,CANCEL_BID
2018/7/29,BID
2018/7/29,BID
2018/7/29,CREATION
2018/7/29,CANCEL_BID
2018/7/29,CANCEL_BID
2018/7/30,SALE_PRICE_SET
2018/7/30,SALE_PRICE_SET
2018/7/30,SALE_PRICE_SET
2018/7/30,CREATION
2018/7/30,SALE_PRICE_SET
2018/7/30,CREATION
2018/7/30,SALE_PRICE_SET
2018/7/30,CREATION
2018/7/30,CREATION
2018/7/31,BID
2018/7/31,SALE_PRICE_SET
2018/7/31,SALE
2018/7/31,ACCEPT_BID
2018/7/31,SALE_PRICE_SET
2018/7/31,SALE_PRICE_SET
2018/7/31,CREATION
2018/7/31,CREATION
2018/7/31,SALE_PRICE_SET
2018/7/31,CREATION
2018/7/31,CREATION
2018/7/31,CREATION
2018/8/1,SALE_PRICE_SET
2018/8/1,ACCEPT_BID
2018/8/1,SALE_PRICE_SET
2018/8/1,ACCEPT_BID
2018/8/1,BID
2018/8/1,BID
2018/8/1,BID
2018/8/1,BID
2018/8/1,BID
2018/8/1,CREATION
2018/8/1,CREATION
2018/8/1,SALE_PRICE_SET
2018/8/1,CREATION
2018/8/1,CREATION
2018/8/2,BID
2018/8/2,CANCEL_BID
2018/8/2,ACCEPT_BID
2018/8/2,CREATION
2018/8/2,SALE_PRICE_SET
2018/8/2,CREATION
2018/8/2,BID
2018/8/2,BID
2018/8/2,BID
2018/8/2,SALE
2018/8/2,SALE_PRICE_SET
2018/8/2,CREATION
2018/8/2,SALE_PRICE_SET
2018/8/2,CREATION
2018/8/2,SALE_PRICE_SET
2018/8/2,SALE
2018/8/2,SALE_PRICE_SET
2018/8/2,CREATION
2018/8/2,SALE_PRICE_SET
2018/8/2,SALE_PRICE_SET
2018/8/2,CREATION
2018/8/3,SALE_PRICE_SET
2018/8/3,SALE_PRICE_SET
2018/8/3,ACCEPT_BID
2018/8/3,BID
2018/8/3,CREATION
2018/8/3,SALE_PRICE_SET
2018/8/3,CREATION
2018/8/3,CREATION
2018/8/3,CREATION
2018/8/3,BID
2018/8/3,CREATION
2018/8/3,CREATION
2018/8/3,CREATION
2018/8/3,CREATION
2018/8/3,SALE_PRICE_SET
2018/8/3,CREATION
2018/8/3,SALE_PRICE_SET
2018/8/3,SALE_PRICE_SET
2018/8/3,SALE_PRICE_SET
2018/8/4,ACCEPT_BID
2018/8/4,BID
2018/8/4,ACCEPT_BID
2018/8/4,BID
2018/8/4,ACCEPT_BID
2018/8/4,BID
2018/8/4,CREATION
2018/8/4,SALE_PRICE_SET
2018/8/4,CREATION
2018/8/4,CREATION
2018/8/4,CREATION
2018/8/5,SALE_PRICE_SET
2018/8/5,SALE_PRICE_SET
2018/8/5,SALE_PRICE_SET
2018/8/5,SALE_PRICE_SET
2018/8/5,SALE_PRICE_SET
2018/8/5,CREATION
2018/8/5,SALE_PRICE_SET
2018/8/5,CREATION
2018/8/6,ACCEPT_BID
2018/8/6,BID
2018/8/6,BID
2018/8/6,BID
2018/8/6,CREATION
2018/8/6,CREATION
2018/8/6,CREATION
2018/8/6,CREATION
2018/8/6,TRANSFER
2018/8/7,BID
2018/8/7,BID
2018/8/7,BID
2018/8/7,TRANSFER
2018/8/7,CREATION
2018/8/7,TRANSFER
2018/8/7,CREATION
2018/8/7,TRANSFER
2018/8/7,CREATION
2018/8/7,TRANSFER
2018/8/7,CREATION
2018/8/7,TRANSFER
2018/8/7,CREATION
2018/8/7,CREATION
2018/8/7,CREATION
2018/8/7,CREATION
2018/8/8,ACCEPT_BID
2018/8/8,BID
2018/8/8,SALE
2018/8/8,BID
2018/8/8,BID
2018/8/8,BID
2018/8/8,CREATION
2018/8/8,BID
2018/8/8,CREATION
2018/8/9,BID
2018/8/9,CREATION
2018/8/9,CREATION
2018/8/9,CREATION
2018/8/10,TRANSFER
2018/8/10,BID
2018/8/10,SALE_PRICE_SET
